page	line	occurrence	token	token_start	token_end	marked_index	current_context	reviewed_token	mark_on	status
bnf-f0040	c1-l027	2	dão	25	28	1	dão	dão	a	batch_review_unverified
bnf-f0040	c1-l027	3	coração	32	39	5	ção	coração	a	batch_review_unverified
bnf-f0040	c1-l028	1	coração	36	43	5	ção	coração	a	batch_review_unverified
bnf-f0040	c1-l036	1	muniçoẽs	2	10	6	oẽs	muniçoẽs	e	human_scan_confirmed
bnf-f0040	c1-l047	1	administração	10	23	11	ção	administração	a	batch_review_unverified
bnf-f0040	c2-l001	1	execução	2	10	6	ção	execução	a	batch_review_unverified
bnf-f0040	c2-l007	1	algũa	30	35	3	gũa	algũa	u	batch_review_unverified
bnf-f0040	c2-l008	1	ração	0	5	3	ção	ração	a	batch_review_unverified
bnf-f0040	c2-l009	1	dalgũa	30	36	4	gũa	dalgũa	u	human_scan_confirmed
bnf-f0040	c2-l019	1	comendação	10	20	8	ção	comendação	a	batch_review_unverified
bnf-f0040	c2-l022	1	não	37	40	1	não	não	a	batch_review_unverified
bnf-f0040	c2-l036	1	dalguẽ	27	33	5	uẽ	dalguẽ	e	batch_review_unverified
bnf-f0040	c2-l037	1	dalguẽ	30	36	5	uẽ	dalguẽ	e	batch_review_unverified
bnf-f0040	c2-l039	1	algũa	15	20	3	gũa	algũa	u	human_scan_confirmed
bnf-f0040	c2-l040	1	naõ	14	17	2	aõ	naõ	o	human_scan_confirmed
bnf-f0041	c1-l001	1	algũa	30	35	3	gũa	algũa	u	batch_review_unverified
bnf-f0041	c1-l003	1	Quã	33	36	2	uã	Quã	a	batch_review_unverified
bnf-f0041	c1-l005	1	aleuãtandoſe	29	41	4	uãt	aleuãtandoſe	a	batch_review_unverified
bnf-f0041	c1-l009	1	vaõ	8	11	2	aõ	vaõ	o	human_scan_confirmed
bnf-f0041	c1-l013	1	naõ	19	22	2	aõ	naõ	o	human_scan_confirmed
bnf-f0041	c1-l020	1	ẽcarnaçaõ	27	36	8	aõ	ẽcarnaçaõ	o	human_scan_confirmed
bnf-f0041	c1-l026	1	naõ	7	10	2	aõ	naõ	o	human_scan_confirmed
bnf-f0041	c1-l026	2	naõ	35	38	2	aõ	naõ	o	human_scan_confirmed
bnf-f0041	c1-l027	1	nenhũa	0	6	4	hũa	nenhũa	u	batch_review_unverified
bnf-f0041	c1-l045	1	toruaçaõ	14	22	7	aõ	toruaçaõ	o	human_scan_confirmed
bnf-f0041	c1-l045	2	naõ	23	26	2	aõ	naõ	o	human_scan_confirmed
bnf-f0041	c1-l046	1	quãdo	41	46	2	uãd	quãdo	a	batch_review_unverified
bnf-f0041	c2-l001	1	hũa	23	26	1	hũa	hũa	u	batch_review_unverified
bnf-f0041	c2-l021	1	cõpaixaõ	24	32	7	aõ	cõpaixaõ	o	human_scan_confirmed
bnf-f0041	c2-l022	1	acõpaixaõ	21	30	8	aõ	acõpaixaõ	o	human_scan_confirmed
bnf-f0041	c2-l023	1	compaixaõ	13	22	8	aõ	compaixaõ	o	human_scan_confirmed
bnf-f0041	c2-l032	1	compaixão	2	11	7	xão	compaixão	a	batch_review_unverified
bnf-f0041	c2-l036	1	algũa	9	14	3	gũa	algũa	u	human_scan_confirmed
bnf-f0041	c2-l041	1	algũa	19	24	3	gũa	algũa	u	batch_review_unverified
bnf-f0041	c2-l046	1	perturbação	0	11	9	ção	perturbação	a	batch_review_unverified
bnf-f0041	catch-l001	1	buição	0	6	4	ção	buição	a	batch_review_unverified
bnf-f0042	c1-l001	1	bação	0	5	3	ção	bação	a	batch_review_unverified
bnf-f0042	c1-l004	1	algũas	6	12	3	gũa	algũas	u	human_scan_confirmed
bnf-f0042	c1-l007	1	hũa	33	36	1	hũa	hũa	u	batch_review_unverified
bnf-f0042	c1-l009	1	maõs	13	17	2	aõs	maõs	o	human_scan_confirmed
bnf-f0042	c1-l012	1	algũa	28	33	3	gũa	algũa	u	batch_review_unverified
bnf-f0042	c1-l033	1	hũa	8	11	1	hũa	hũa	u	batch_review_unverified
bnf-f0042	c1-l038	1	feiçoẽs	0	7	5	oẽs	feiçoẽs	e	human_scan_confirmed
bnf-f0042	c1-l045	1	Quã	41	44	2	uã	Quã	a	batch_review_unverified
bnf-f0042	c1-l046	1	são	15	18	1	são	são	a	batch_review_unverified
bnf-f0042	c2-l002	1	hũa	15	18	1	hũa	hũa	u	batch_review_unverified
bnf-f0042	c2-l005	1	hũa	31	34	1	hũa	hũa	u	batch_review_unverified
bnf-f0042	c2-l009	1	Hũa	8	11	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0042	c2-l014	1	mãos	38	42	1	mão	mãos	a	batch_review_unverified
bnf-f0042	c2-l019	1	Hũa	7	10	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0042	c2-l020	1	leuão	10	15	3	uão	leuão	a	batch_review_unverified
bnf-f0042	c2-l021	1	Raã	9	12	2	aã	Raã	a	batch_review_unverified
bnf-f0042	c2-l025	1	Hũa	9	12	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0042	c2-l025	2	Iapão	23	28	3	pão	Iapão	a	batch_review_unverified
bnf-f0042	c2-l033	1	alguã	38	43	4	uã	alguã	a	human_scan_confirmed
bnf-f0042	c2-l038	1	algũa	0	5	3	gũa	algũa	u	batch_review_unverified
bnf-f0042	c2-l039	1	mãos	11	15	1	mão	mãos	a	batch_review_unverified
bnf-f0042	c2-l043	1	não	20	23	1	não	não	a	batch_review_unverified
bnf-f0043	c1-l007	1	graõs	23	28	3	aõs	graõs	o	human_scan_confirmed
bnf-f0043	c1-l016	1	botaõ	0	5	4	aõ	botaõ	o	human_scan_confirmed
bnf-f0043	c1-l029	1	não	31	34	1	não	não	a	batch_review_unverified
bnf-f0043	c1-l033	1	abanão	13	19	4	não	abanão	a	human_scan_confirmed
bnf-f0043	c1-l033	2	diãte	20	25	2	iãt	diãte	a	batch_review_unverified
bnf-f0043	c1-l033	3	Iapão	39	44	3	pão	Iapão	a	batch_review_unverified
bnf-f0043	c1-l039	1	Hũa	9	12	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0043	c1-l041	1	Hũa	7	10	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0043	c1-l044	1	Hũas	7	11	1	Hũa	Hũas	u	batch_review_unverified
bnf-f0043	c2a-l001	1	mãos	29	33	1	mão	mãos	a	batch_review_unverified
bnf-f0043	c2a-l001	2	quẽ	39	42	2	uẽ	quẽ	e	human_scan_confirmed
bnf-f0043	c2a-l003	1	estão	27	32	3	tão	estão	a	batch_review_unverified
bnf-f0043	c2a-l008	1	não	30	33	1	não	não	a	batch_review_unverified
bnf-f0043	c2a-l010	1	Hũa	13	16	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0043	c2a-l013	1	Hũa	7	10	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0043	c2a-l020	1	grão	20	24	2	rão	grão	a	batch_review_unverified
bnf-f0043	c2b-l007	1	dalgũa	6	12	4	gũa	dalgũa	u	human_scan_confirmed
bnf-f0043	c2b-l009	1	Hũa	7	10	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0043	c2b-l017	1	não	4	7	1	não	não	a	batch_review_unverified
bnf-f0043	c2b-l020	1	leuão	27	32	3	uão	leuão	a	batch_review_unverified
bnf-f0043	c2b-l022	1	ſeição	13	19	4	ção	ſeição	a	batch_review_unverified
bnf-f0043	c2b-l024	1	Não	21	24	1	Não	Não	a	batch_review_unverified
bnf-f0043	c2b-l025	1	algũa	9	14	3	gũa	algũa	u	human_scan_confirmed
bnf-f0043	c2b-l025	2	não	34	37	1	não	não	a	batch_review_unverified
bnf-f0044	c1-l006	1	alguẽ	39	44	4	uẽ	alguẽ	e	batch_review_unverified
bnf-f0044	c1-l026	1	falcão	19	25	4	cão	falcão	a	batch_review_unverified
bnf-f0044	c1-l032	1	firmão	33	39	4	mão	firmão	a	batch_review_unverified
bnf-f0044	c1-l041	1	Não	0	3	1	Não	Não	a	batch_review_unverified
bnf-f0044	c2-l001	1	chão	28	32	2	hão	chão	a	batch_review_unverified
bnf-f0044	c2-l003	1	vão	42	45	1	vão	vão	a	batch_review_unverified
bnf-f0044	c2-l004	1	quãdo	28	33	2	uãd	quãdo	a	batch_review_unverified
bnf-f0044	c2-l004	2	dão	34	37	1	dão	dão	a	batch_review_unverified
bnf-f0044	c2-l005	1	vão	24	27	1	vão	vão	a	batch_review_unverified
bnf-f0044	c2-l006	1	estribão	24	32	6	bão	estribão	a	batch_review_unverified
bnf-f0044	c2-l007	1	fortificão	0	10	8	cão	fortificão	a	batch_review_unverified
bnf-f0044	c2-l009	1	Grilhoẽs	9	17	6	oẽs	Grilhoẽs	e	human_scan_confirmed
bnf-f0044	c2-l010	1	grilhoẽs	24	32	6	oẽs	grilhoẽs	e	human_scan_confirmed
bnf-f0044	c2-l012	1	grilhoẽs	31	39	6	oẽs	grilhoẽs	e	human_scan_confirmed
bnf-f0044	c2-l025	1	Iapão	37	42	3	pão	Iapão	a	batch_review_unverified
bnf-f0044	c2-l026	1	tomão	4	9	3	mão	tomão	a	batch_review_unverified
bnf-f0044	c2-l027	1	não	40	43	1	não	não	a	batch_review_unverified
bnf-f0044	c2-l028	1	chegão	0	6	4	gão	chegão	a	batch_review_unverified
bnf-f0044	c2-l045	1	falcaõ	25	31	5	aõ	falcaõ	o	human_scan_confirmed
bnf-f0044	c2-l048	1	andão	32	37	3	dão	andão	a	batch_review_unverified
bnf-f0045	c1a-l007	1	Hũa	13	16	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0045	c1a-l013	1	cordão	17	23	4	dão	cordão	a	batch_review_unverified
bnf-f0045	c1a-l013	2	pendurão	34	42	6	rão	pendurão	a	batch_review_unverified
bnf-f0045	c1a-l015	1	gauião	0	6	4	ião	gauião	a	batch_review_unverified
bnf-f0045	c1a-l018	1	ſostentão	12	21	7	tão	ſostentão	a	batch_review_unverified
bnf-f0045	c1a-l024	1	Embarcação	26	36	8	ção	Embarcação	a	batch_review_unverified
bnf-f0045	c1a-l026	1	embarcação	26	36	8	ção	embarcação	a	batch_review_unverified
bnf-f0045	c1b-l002	1	Iapão	3	8	3	pão	Iapão	a	batch_review_unverified
bnf-f0045	c1b-l008	1	não	29	32	1	não	não	a	batch_review_unverified
bnf-f0045	c1b-l012	1	coração	3	10	5	ção	coração	a	batch_review_unverified
bnf-f0045	c2-l008	1	alguẽ	4	9	4	uẽ	alguẽ	e	batch_review_unverified
bnf-f0045	c2-l009	1	hũa	21	24	1	hũa	hũa	u	batch_review_unverified
bnf-f0045	c2-l014	1	dão	0	3	1	dão	dão	a	batch_review_unverified
bnf-f0045	c2-l018	1	dalgũa	32	38	4	gũa	dalgũa	u	batch_review_unverified
bnf-f0045	c2-l020	1	Não	0	3	1	Não	Não	a	batch_review_unverified
bnf-f0045	c2-l020	2	dalgũa	22	28	4	gũa	dalgũa	u	human_scan_confirmed
bnf-f0045	c2-l022	1	vaã	27	30	2	aã	vaã	a	batch_review_unverified
bnf-f0045	c2-l025	1	vão	0	3	1	vão	vão	a	batch_review_unverified
bnf-f0045	c2-l034	1	Inuenção	10	18	6	ção	Inuenção	a	batch_review_unverified
bnf-f0045	c2-l037	1	alguẽ	18	23	4	uẽ	alguẽ	e	batch_review_unverified
bnf-f0046	c1a-l005	1	não	10	13	1	não	não	a	batch_review_unverified
bnf-f0046	c1a-l013	1	grãos	15	20	2	rão	grãos	a	batch_review_unverified
bnf-f0046	c1a-l025	1	compaixão	34	43	7	xão	compaixão	a	batch_review_unverified
bnf-f0046	c1a-l026	1	cõpaixão	31	39	6	xão	cõpaixão	a	batch_review_unverified
bnf-f0046	c1a-l028	1	algũa	20	25	3	gũa	algũa	u	human_scan_confirmed
bnf-f0046	c1a-l029	1	não	0	3	1	não	não	a	batch_review_unverified
bnf-f0046	c1a-l030	1	não	16	19	1	não	não	a	batch_review_unverified
bnf-f0046	c1a-l032	1	não	5	8	1	não	não	a	batch_review_unverified
bnf-f0046	c1a-l032	2	algũa	16	21	3	gũa	algũa	u	human_scan_confirmed
bnf-f0046	c1a-l033	1	Não	4	7	1	Não	Não	a	batch_review_unverified
bnf-f0046	c1a-l034	1	não	27	30	1	não	não	a	batch_review_unverified
bnf-f0046	c1a-l035	1	perturbação	33	44	9	ção	perturbação	a	batch_review_unverified
bnf-f0046	c1a-l037	1	gũa	0	3	1	gũa	gũa	u	batch_review_unverified
bnf-f0046	c2-l007	1	gũa	0	3	1	gũa	gũa	u	batch_review_unverified
bnf-f0046	c2-l008	1	Hũa	7	10	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0046	c2-l009	1	Hũa	13	16	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0046	c2-l015	1	chegauão	21	29	6	uão	chegauão	a	batch_review_unverified
bnf-f0046	c2-l018	1	não	21	24	1	não	não	a	batch_review_unverified
bnf-f0046	c2-l025	1	não	27	30	1	não	não	a	batch_review_unverified
bnf-f0046	c2-l032	1	quã	40	43	2	uã	quã	a	batch_review_unverified
bnf-f0046	c2-l034	1	não	0	3	1	não	não	a	batch_review_unverified
bnf-f0047	c1a-l004	1	dalgũa	31	37	4	gũa	dalgũa	u	batch_review_unverified
bnf-f0047	c1a-l007	1	algũa	33	38	3	gũa	algũa	u	batch_review_unverified
bnf-f0047	c1a-l010	1	Iapão	28	33	3	pão	Iapão	a	batch_review_unverified
bnf-f0047	c1a-l018	1	aldeão	32	38	4	eão	aldeão	a	batch_review_unverified
bnf-f0047	c1a-l025	1	feijões	12	19	4	jõe	feijões	o	batch_review_unverified
bnf-f0047	c1a-l026	1	feijões	30	37	4	jõe	feijões	o	batch_review_unverified
bnf-f0047	c1a-l027	1	Hũa	8	11	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0047	c1a-l028	1	Hũa	9	12	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0047	c1a-l029	1	vſão	36	40	2	ſão	vſão	a	batch_review_unverified
bnf-f0047	c1a-l030	1	inuocações	33	43	7	çõe	inuocações	o	batch_review_unverified
bnf-f0047	c1b-l003	1	tirão	8	13	3	rão	tirão	a	batch_review_unverified
bnf-f0047	c1b-l008	1	dalgũa	7	13	4	gũa	dalgũa	u	batch_review_unverified
bnf-f0047	c2-l003	1	algũa	24	29	3	gũa	algũa	u	batch_review_unverified
bnf-f0047	c2-l012	1	exercitão	11	20	7	tão	exercitão	a	batch_review_unverified
bnf-f0047	c2-l020	1	acçoẽs	30	36	4	oẽs	acçoẽs	e	human_scan_confirmed
bnf-f0047	c2-l028	1	Hũa	9	12	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0047	c2-l033	1	criação	9	16	5	ção	criação	a	batch_review_unverified
bnf-f0047	c2-l035	1	não	0	3	1	não	não	a	batch_review_unverified
bnf-f0047	c2-l035	2	ſão	4	7	1	ſão	ſão	a	batch_review_unverified
bnf-f0047	c2-l046	1	hũas	30	34	1	hũa	hũas	u	batch_review_unverified
bnf-f0047	c2-l047	1	Vſão	34	38	2	ſão	Vſão	a	batch_review_unverified
bnf-f0048	c1-l001	1	embarcaçoẽs	23	34	9	oẽs	embarcaçoẽs	e	human_scan_confirmed
bnf-f0048	c1-l011	1	dalgũa	0	6	4	gũa	dalgũa	u	batch_review_unverified
bnf-f0048	c1-l015	1	feição	18	24	4	ção	feição	a	batch_review_unverified
bnf-f0048	c1-l016	1	Iapão	27	32	3	pão	Iapão	a	batch_review_unverified
bnf-f0048	c1-l018	1	queimão	15	22	5	mão	queimão	a	batch_review_unverified
bnf-f0048	c1-l029	1	pintão	33	39	4	tão	pintão	a	batch_review_unverified
bnf-f0048	c2-l005	1	Hũa	11	14	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0048	c2-l013	1	quã	35	38	2	uã	quã	a	batch_review_unverified
bnf-f0048	c2-l015	1	quã	36	39	2	uã	quã	a	batch_review_unverified
bnf-f0048	c2-l023	1	cuſtumaõ	33	41	7	aõ	cuſtumaõ	o	human_scan_confirmed
bnf-f0048	c2-l025	1	zentaõ	0	6	5	aõ	zentaõ	o	human_scan_confirmed
bnf-f0048	c2-l025	2	algũas	28	34	3	gũa	algũas	u	batch_review_unverified
bnf-f0048	c2-l027	1	Iapão	26	31	3	pão	Iapão	a	batch_review_unverified
bnf-f0048	c2-l029	1	Embarcaçaõ	11	21	9	aõ	Embarcaçaõ	o	human_scan_confirmed
bnf-f0048	c2-l029	2	ladroẽs	25	32	5	oẽs	ladroẽs	e	human_scan_confirmed
bnf-f0048	c2-l029	3	vaõ	37	40	2	aõ	vaõ	o	human_scan_confirmed
bnf-f0048	c2-l031	1	droẽs	0	5	3	oẽs	droẽs	e	human_scan_confirmed
bnf-f0048	c2-l031	2	vaõ	23	26	2	aõ	vaõ	o	human_scan_confirmed
bnf-f0048	c2-l033	1	algũa	21	26	3	gũa	algũa	u	batch_review_unverified
bnf-f0048	c2-l037	1	Feiçaõ	23	29	5	aõ	Feiçaõ	o	human_scan_confirmed
bnf-f0048	c2-l039	1	feiçoẽs	28	35	5	oẽs	feiçoẽs	e	human_scan_confirmed
bnf-f0049	c1-l008	1	Lũa	9	12	1	Lũa	Lũa	u	batch_review_unverified
bnf-f0049	c1-l023	1	chão	28	32	2	hão	chão	a	batch_review_unverified
bnf-f0049	c1-l032	1	Multiplicação	19	32	11	ção	Multiplicação	a	batch_review_unverified
bnf-f0049	c1-l035	1	eſtão	13	18	3	tão	eſtão	a	batch_review_unverified
bnf-f0049	c2-l009	1	algũa	32	37	3	gũa	algũa	u	batch_review_unverified
bnf-f0049	c2-l016	1	não	8	11	1	não	não	a	batch_review_unverified
bnf-f0049	c2-l019	1	vão	10	13	1	vão	vão	a	batch_review_unverified
bnf-f0049	c2-l022	1	vigião	32	38	4	ião	vigião	a	batch_review_unverified
bnf-f0049	c2-l027	1	lũa	3	6	1	lũa	lũa	u	batch_review_unverified
bnf-f0049	c2-l029	1	verão	7	12	3	rão	verão	a	batch_review_unverified
bnf-f0049	c2-l030	1	não	26	29	1	não	não	a	batch_review_unverified
bnf-f0049	c2-l032	1	gião	0	4	2	ião	gião	a	batch_review_unverified
bnf-f0049	c2-l046	1	não	17	20	1	não	não	a	batch_review_unverified
bnf-f0050	c1-l004	1	vigião	33	39	4	ião	vigião	a	batch_review_unverified
bnf-f0050	c1-l009	1	gião	0	4	2	ião	gião	a	batch_review_unverified
bnf-f0050	c1-l016	1	Iapão	12	17	3	pão	Iapão	a	batch_review_unverified
bnf-f0050	c1-l016	2	ſão	23	26	1	ſão	ſão	a	batch_review_unverified
bnf-f0050	c1-l016	3	chamão	38	44	4	mão	chamão	a	batch_review_unverified
bnf-f0050	c1-l027	1	vigião	14	20	4	ião	vigião	a	batch_review_unverified
bnf-f0050	c1-l028	1	tão	0	3	1	tão	tão	a	batch_review_unverified
bnf-f0050	c1-l031	1	hũa	30	33	1	hũa	hũa	u	batch_review_unverified
bnf-f0050	c1-l032	1	não	32	35	1	não	não	a	batch_review_unverified
bnf-f0050	c1-l032	2	ſão	36	39	1	ſão	ſão	a	batch_review_unverified
bnf-f0050	c1-l035	1	multidão	15	23	6	dão	multidão	a	batch_review_unverified
bnf-f0050	c1-l036	1	huãs	22	26	2	uãs	huãs	a	human_scan_confirmed
bnf-f0050	c1-l039	1	gião	0	4	2	ião	gião	a	batch_review_unverified
bnf-f0050	c1-l044	1	não	34	37	1	não	não	a	batch_review_unverified
bnf-f0050	c2-l033	1	ordenaçoẽs	16	26	8	oẽs	ordenaçoẽs	e	human_scan_confirmed
bnf-f0051	c1-l006	1	Hũa	13	16	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0051	c1-l009	1	conſideração	3	15	10	ção	conſideração	a	batch_review_unverified
bnf-f0051	c1-l030	1	vigião	14	20	4	ião	vigião	a	batch_review_unverified
bnf-f0051	c1-l040	1	hũa	0	3	1	hũa	hũa	u	batch_review_unverified
bnf-f0051	c1-l040	2	hũa	31	34	1	hũa	hũa	u	batch_review_unverified
bnf-f0051	c2-l003	1	vigião	14	20	4	ião	vigião	a	batch_review_unverified
bnf-f0051	c2-l005	1	lũa	15	18	1	lũa	lũa	u	batch_review_unverified
bnf-f0051	c2-l010	1	lũa	19	22	1	lũa	lũa	u	batch_review_unverified
bnf-f0051	c2-l018	1	algũa	16	21	3	gũa	algũa	u	batch_review_unverified
bnf-f0051	c2-l022	1	algũa	28	33	3	gũa	algũa	u	batch_review_unverified
bnf-f0051	c2-l024	1	algũa	21	26	3	gũa	algũa	u	batch_review_unverified
bnf-f0051	c2-l026	1	Iapões	24	30	3	põe	Iapões	o	batch_review_unverified
bnf-f0051	c2-l026	2	não	31	34	1	não	não	a	batch_review_unverified
bnf-f0051	c2-l026	3	nomeão	35	41	4	eão	nomeão	a	batch_review_unverified
bnf-f0051	c2-l034	1	cuidão	38	44	4	dão	cuidão	a	batch_review_unverified
bnf-f0051	c2-l039	1	diſſimulação	11	23	10	ção	diſſimulação	a	batch_review_unverified
bnf-f0051	c2-l043	1	lação	0	5	3	ção	lação	a	batch_review_unverified
bnf-f0052	c1-l012	1	chão	41	45	2	hão	chão	a	batch_review_unverified
bnf-f0052	c1-l013	1	grãos	34	39	2	rão	grãos	a	batch_review_unverified
bnf-f0052	c1-l014	1	entornão	0	8	6	não	entornão	a	batch_review_unverified
bnf-f0052	c1-l019	1	chão	27	31	2	hão	chão	a	batch_review_unverified
bnf-f0052	c1-l025	1	tomão	23	28	3	mão	tomão	a	batch_review_unverified
bnf-f0052	c1-l028	1	dobrão	11	17	4	rão	dobrão	a	batch_review_unverified
bnf-f0052	c1-l032	1	Hũa	7	10	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0052	c1-l034	1	esfregão	24	32	6	gão	esfregão	a	batch_review_unverified
bnf-f0052	c1-l045	1	hũa	5	8	1	hũa	hũa	u	batch_review_unverified
bnf-f0052	c2-l003	1	voão	16	20	2	oão	voão	a	batch_review_unverified
bnf-f0052	c2-l003	2	dão	25	28	1	dão	dão	a	batch_review_unverified
bnf-f0052	c2-l003	3	nochão	39	45	4	hão	nochão	a	batch_review_unverified
bnf-f0052	c2-l008	1	Iapão	12	17	3	pão	Iapão	a	batch_review_unverified
bnf-f0052	c2-l011	1	Gèração	23	30	5	ção	Gèração	a	batch_review_unverified
bnf-f0052	c2-l012	1	dalgũa	25	31	4	ũa	dalgũa	u	batch_review_unverified
bnf-f0052	c2-l014	1	dalgũa	22	28	4	gũa	dalgũa	u	human_scan_confirmed
bnf-f0052	c2-l016	1	algũa	33	38	3	gũa	algũa	u	human_scan_confirmed
bnf-f0052	c2-l018	1	algũa	0	5	3	gũa	algũa	u	batch_review_unverified
bnf-f0052	c2-l020	1	dalgũa	0	6	4	gũa	dalgũa	u	batch_review_unverified
bnf-f0052	c2-l028	1	Hũa	29	32	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0052	c2-l034	1	viſitação	24	33	7	ção	viſitação	a	batch_review_unverified
bnf-f0053	c1a-l005	1	aleuantão	30	39	7	tão	aleuantão	a	batch_review_unverified
bnf-f0053	c1a-l010	1	dalgũa	24	30	4	gũa	dalgũa	u	batch_review_unverified
bnf-f0053	c1b-l001	1	Hũa	6	9	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0053	c1b-l003	1	dalgũa	31	37	4	gũa	dalgũa	u	human_scan_confirmed
bnf-f0053	c1b-l007	1	feijoẽs	0	7	5	oẽs	feijoẽs	e	human_scan_confirmed
bnf-f0053	c2-l001	1	pão	0	3	1	pão	pão	a	batch_review_unverified
bnf-f0053	c2-l001	2	apartauão	6	15	7	uão	apartauão	a	batch_review_unverified
bnf-f0053	c2-l008	1	Grão	20	24	2	rão	Grão	a	batch_review_unverified
bnf-f0053	c2-l026	1	Rabão	12	17	3	bão	Rabão	a	batch_review_unverified
bnf-f0053	c2-l039	1	Maçaã	21	26	4	aã	Maçaã	a	human_scan_confirmed
bnf-f0054	c1-l002	1	Diſcrição	7	16	7	ção	Diſcrição	a	batch_review_unverified
bnf-f0054	c1-l002	2	eloquẽcia	35	44	5	uẽc	eloquẽcia	e	batch_review_unverified
bnf-f0054	c1-l004	1	inuenção	10	18	6	ção	inuenção	a	batch_review_unverified
bnf-f0054	c1-l009	1	diſcrição	19	28	7	ção	diſcrição	a	batch_review_unverified
bnf-f0054	c1-l011	1	Hũa	7	10	1	Hũa	Hũa	u	batch_review_unverified
bnf-f0054	c1-l012	1	leuão	25	30	3	uão	leuão	a	batch_review_unverified
bnf-f0054	c1-l017	1	algũa	32	37	3	gũa	algũa	u	human_scan_confirmed
bnf-f0054	c1-l023	1	algũa	15	20	3	gũa	algũa	u	human_scan_confirmed
bnf-f0054	c1-l030	1	venerão	29	36	5	rão	venerão	a	batch_review_unverified
bnf-f0054	c1-l031	1	quẽ	33	36	2	uẽ	quẽ	e	batch_review_unverified
bnf-f0054	c1-l046	1	Geração	23	30	5	ção	Geração	a	batch_review_unverified
bnf-f0054	c2-l023	1	pregação	0	8	6	ção	pregação	a	batch_review_unverified
bnf-f0054	c2-l024	1	pregação	18	26	6	ção	pregação	a	batch_review_unverified
bnf-f0054	c2-l027	1	opinião	3	10	5	ião	opinião	a	batch_review_unverified
bnf-f0054	c2-l034	1	ção	0	3	1	ção	ção	a	batch_review_unverified
bnf-f0054	c2-l040	1	algũa	26	31	3	gũa	algũa	u	human_scan_confirmed
bnf-f0055	c1a-l004	1	algũa	12	17	3	gũa	algũa	u	human_scan_confirmed
bnf-f0055	c1a-l006	1	derramão	0	8	6	mão	derramão	a	batch_review_unverified
bnf-f0055	c1a-l013	1	algũa	0	5	3	gũa	algũa	u	batch_review_unverified
bnf-f0055	c1a-l015	1	hũa	15	18	1	hũa	hũa	u	batch_review_unverified
